Cumulative return,Cumulative return,Cumulative return
STH SaaS Index,S&P 500,Nasdaq NDXT
-13.87%,27.75%,25.99%
-16.13%,26.82%,23.97%
-15.70%,26.83%,25.02%
-15.66%,26.66%,24.98%
-13.42%,27.56%,26.44%
-15.30%,26.60%,25.73%
-14.14%,27.57%,26.71%
-12.36%,28.28%,28.14%
-10.74%,28.07%,28.59%
-10.42%,29.46%,29.44%
-10.05%,28.69%,30.56%
-11.03%,29.16%,27.38%
-11.61%,29.15%,26.92%
-12.22%,29.54%,26.89%
-11.77%,29.36%,27.16%
-11.92%,29.31%,26.94%
-12.59%,28.39%,26.64%
